date,country,os,browser,market_share
2025-03,Austria,Android,Firefox,2.189
2025-03,Austria,Android,Instagram,2.179
2025-03,Austria,Android,Brave,0.745
2025-03,Austria,Android,DuckDuckGo,0.52
2025-03,Austria,Android,Opera,0.507
2025-03,Austria,Android,Huawei Browser,0.358
2025-03,Austria,Android,Edge,0.34
2025-03,Austria,Android,Ecosia,0.282
2025-03,Austria,Android,TikTok,0.241
2025-03,Austria,Android,Mi Browser,0.167
2025-03,Austria,Android,Yandex Browser,0.128
2025-03,Austria,Android,Aloha Browser,0.088
2025-03,Austria,Android,UC Browser,0.052
2025-03,Austria,Android,Pinterest,0.028
2025-03,Austria,Android,Oculus Browser,0.027
2025-03,Austria,Android,Twitter,0.013
2025-03,Austria,Android,Snapchat,0.009
2025-03,Austria,Android,QQ Browser,0.006
2025-03,Austria,Android,HiBrowser,0.005
2025-03,Austria,Android,VivoBrowser,0.003
2025-03,Austria,Android,Instabridge,0.002
2025-03,Austria,Android,Other,0.002
2025-03,Austria,Android,Mint Browser,0.001
2025-03,Austria,Android,Whale,0.001
2025-03,Austria,Desktop,Chrome,45.761
2025-03,Austria,Desktop,Edge,20.433
2025-03,Austria,Desktop,Firefox,17.983
2025-03,Austria,Desktop,Safari,10.666
2025-03,Austria,Desktop,Opera,3.007
2025-03,Austria,Desktop,Brave,1.674
2025-03,Austria,Desktop,Yandex Browser,0.164
2025-03,Austria,Desktop,Avast Secure Browser,0.154
2025-03,Austria,Desktop,DuckDuckGo,0.11
2025-03,Austria,Desktop,AVG,0.031
2025-03,Austria,Desktop,Huawei Browser,0.004
2025-03,Austria,Desktop,Vivaldi,0.004
2025-03,Austria,Desktop,Mi Browser,0.003
2025-03,Austria,Desktop,Aloha Browser,0.002
2025-03,Austria,Desktop,Whale,0.002
2025-03,Austria,Desktop,Hola Browser,0.001
2025-03,Austria,Desktop,Other,0.001
2025-03,Austria,Desktop,QQ Browser,0.001
2025-03,Austria,MacOSX,Safari,52.403
2025-03,Austria,MacOSX,Chrome,35.565
2025-03,Austria,MacOSX,Firefox,8.785
2025-03,Austria,MacOSX,Brave,1.589
2025-03,Austria,MacOSX,Opera,0.735
2025-03,Austria,MacOSX,Edge,0.534
2025-03,Austria,MacOSX,DuckDuckGo,0.324
2025-03,Austria,MacOSX,Yandex Browser,0.057
2025-03,Austria,MacOSX,Aloha Browser,0.005
2025-03,Austria,MacOSX,Vivaldi,0.002
2025-03,Austria,MacOSX,Avast Secure Browser,0.001
2025-03,Austria,MacOSX,Other,0.001
2025-03,Austria,Mobile,Chrome,38.527
2025-03,Austria,Mobile,Safari,23.555
2025-03,Austria,Mobile,Mobile Safari UI/WKWebView,9.452
2025-03,Austria,Mobile,Samsung Internet,7.808
2025-03,Austria,Mobile,Chrome Mobile WebView,6.645
2025-03,Austria,Mobile,Facebook,5.149
2025-03,Austria,Mobile,Instagram,4.109
2025-03,Austria,Mobile,Firefox,1.52
2025-03,Austria,Mobile,TikTok,0.753
2025-03,Austria,Mobile,DuckDuckGo,0.432
2025-03,Austria,Mobile,Brave,0.416
2025-03,Austria,Mobile,Edge,0.354
2025-03,Austria,Mobile,Opera,0.287
2025-03,Austria,Mobile,Ecosia,0.222
2025-03,Austria,Mobile,Huawei Browser,0.2
2025-03,Austria,Mobile,Yandex Browser,0.111
2025-03,Austria,Mobile,Pinterest,0.104
2025-03,Austria,Mobile,Mi Browser,0.093
2025-03,Austria,Mobile,Aloha Browser,0.091
2025-03,Austria,Mobile,Twitter,0.067
2025-03,Austria,Mobile,Snapchat,0.048
2025-03,Austria,Mobile,UC Browser,0.03
2025-03,Austria,Mobile,Oculus Browser,0.015
2025-03,Austria,Mobile,HiBrowser,0.003
2025-03,Austria,Mobile,QQ Browser,0.003
2025-03,Austria,Mobile,VivoBrowser,0.002
2025-03,Austria,Mobile,Instabridge,0.001
2025-03,Austria,Mobile,KakaoTalk,0.001
2025-03,Austria,Mobile,Other,0.001
2025-03,Austria,Mobile,Whale,0.001
2025-03,Austria,Windows,Chrome,47.854
2025-03,Austria,Windows,Edge,26.846
2025-03,Austria,Windows,Firefox,19.404
2025-03,Austria,Windows,Opera,3.722
2025-03,Austria,Windows,Brave,1.645
2025-03,Austria,Windows,Avast Secure Browser,0.203
2025-03,Austria,Windows,Yandex Browser,0.197
2025-03,Austria,Windows,DuckDuckGo,0.058
2025-03,Austria,Windows,AVG,0.041
2025-03,Austria,Windows,Safari,0.014
2025-03,Austria,Windows,Huawei Browser,0.005
2025-03,Austria,Windows,Vivaldi,0.004
2025-03,Austria,Windows,Whale,0.003
2025-03,Austria,Windows,Other,0.002
2025-03,Austria,Windows,Hola Browser,0.001
2025-03,Austria,Windows,QQ Browser,0.001
2025-03,Austria,iOS,Safari,53.541
2025-03,Austria,iOS,Mobile Safari UI/WKWebView,21.645
2025-03,Austria,iOS,Chrome,9.716
2025-03,Austria,iOS,Instagram,6.623
2025-03,Austria,iOS,Facebook,4.895
2025-03,Austria,iOS,TikTok,1.416
2025-03,Austria,iOS,Firefox,0.683
2025-03,Austria,iOS,Edge,0.372
2025-03,Austria,iOS,DuckDuckGo,0.326
2025-03,Austria,iOS,Pinterest,0.202
2025-03,Austria,iOS,Ecosia,0.148
2025-03,Austria,iOS,Twitter,0.137
2025-03,Austria,iOS,Snapchat,0.098
2025-03,Austria,iOS,Aloha Browser,0.095
2025-03,Austria,iOS,Yandex Browser,0.091
2025-03,Austria,iOS,Opera,0.008
2025-03,Austria,iOS,Other,0.002
2025-03,Austria,iOS,UC Browser,0.001
2025-03,Belgium,Android,Chrome,58.389
2025-03,Belgium,Android,Chrome Mobile WebView,14.735
2025-03,Belgium,Android,Samsung Internet,10.855
2025-03,Belgium,Android,Facebook,9.619
2025-03,Belgium,Android,Instagram,2.007
2025-03,Belgium,Android,Firefox,1.208
2025-03,Belgium,Android,Brave,0.776
2025-03,Belgium,Android,Edge,0.528
2025-03,Belgium,Android,DuckDuckGo,0.405
2025-03,Belgium,Android,TikTok,0.333
2025-03,Belgium,Android,Opera,0.29
2025-03,Belgium,Android,Ecosia,0.243
2025-03,Belgium,Android,Mi Browser,0.207
2025-03,Belgium,Android,Aloha Browser,0.133
2025-03,Belgium,Android,Huawei Browser,0.077
2025-03,Belgium,Android,Snapchat,0.048
2025-03,Belgium,Android,Yandex Browser,0.042
2025-03,Belgium,Android,Oculus Browser,0.033
2025-03,Belgium,Android,UC Browser,0.025
2025-03,Belgium,Android,Pinterest,0.015
2025-03,Belgium,Android,Twitter,0.014
2025-03,Belgium,Android,Instabridge,0.007
2025-03,Belgium,Android,VivoBrowser,0.004
2025-03,Belgium,Android,Other,0.002
2025-03,Belgium,Android,QQ Browser,0.002
2025-03,Belgium,Android,HiBrowser,0.001
2025-03,Belgium,Android,Mint Browser,0.001
2025-03,Belgium,Android,Whale,0.001
2025-03,Belgium,Desktop,Chrome,56.723
2025-03,Belgium,Desktop,Edge,17.069
2025-03,Belgium,Desktop,Firefox,10.819
2025-03,Belgium,Desktop,Safari,10.742
2025-03,Belgium,Desktop,Opera,2.358
2025-03,Belgium,Desktop,Brave,1.769
2025-03,Belgium,Desktop,Avast Secure Browser,0.197
2025-03,Belgium,Desktop,AVG,0.137
2025-03,Belgium,Desktop,DuckDuckGo,0.104
2025-03,Belgium,Desktop,Yandex Browser,0.067
2025-03,Belgium,Desktop,Aloha Browser,0.003
2025-03,Belgium,Desktop,Vivaldi,0.003
2025-03,Belgium,Desktop,Whale,0.003
2025-03,Belgium,Desktop,Mi Browser,0.002
2025-03,Belgium,Desktop,Other,0.002
2025-03,Belgium,MacOSX,Safari,47.015
2025-03,Belgium,MacOSX,Chrome,43.733
2025-03,Belgium,MacOSX,Firefox,6.45
2025-03,Belgium,MacOSX,Brave,1.535
2025-03,Belgium,MacOSX,Opera,0.605
2025-03,Belgium,MacOSX,Edge,0.371
2025-03,Belgium,MacOSX,DuckDuckGo,0.265
2025-03,Belgium,MacOSX,Yandex Browser,0.019
2025-03,Belgium,MacOSX,Aloha Browser,0.002
2025-03,Belgium,MacOSX,Avast Secure Browser,0.002
2025-03,Belgium,MacOSX,Other,0.002
2025-03,Belgium,MacOSX,Whale,0.002
2025-03,Belgium,Mobile,Chrome,36.991
2025-03,Belgium,Mobile,Safari,21.372
2025-03,Belgium,Mobile,Mobile Safari UI/WKWebView,10.721
2025-03,Belgium,Mobile,Facebook,8.86
2025-03,Belgium,Mobile,Chrome Mobile WebView,8.061
2025-03,Belgium,Mobile,Samsung Internet,6.127
2025-03,Belgium,Mobile,Instagram,3.854
2025-03,Belgium,Mobile,TikTok,0.822
2025-03,Belgium,Mobile,Firefox,0.82
2025-03,Belgium,Mobile,Edge,0.469
2025-03,Belgium,Mobile,Brave,0.425
2025-03,Belgium,Mobile,DuckDuckGo,0.325
2025-03,Belgium,Mobile,Snapchat,0.265
2025-03,Belgium,Mobile,Ecosia,0.191
2025-03,Belgium,Mobile,Opera,0.162
2025-03,Belgium,Mobile,Mi Browser,0.113
2025-03,Belgium,Mobile,Twitter,0.104
2025-03,Belgium,Mobile,Aloha Browser,0.101
2025-03,Belgium,Mobile,Pinterest,0.095
2025-03,Belgium,Mobile,Huawei Browser,0.042
2025-03,Belgium,Mobile,Yandex Browser,0.037
2025-03,Belgium,Mobile,Oculus Browser,0.018
2025-03,Belgium,Mobile,UC Browser,0.014
2025-03,Belgium,Mobile,Instabridge,0.004
2025-03,Belgium,Mobile,Other,0.002
2025-03,Belgium,Mobile,VivoBrowser,0.002
2025-03,Belgium,Mobile,HiBrowser,0.001
2025-03,Belgium,Mobile,QQ Browser,0.001
2025-03,Belgium,Windows,Chrome,59.214
2025-03,Belgium,Windows,Edge,23.217
2025-03,Belgium,Windows,Firefox,12.086
2025-03,Belgium,Windows,Opera,2.993
2025-03,Belgium,Windows,Brave,1.854
2025-03,Belgium,Windows,Avast Secure Browser,0.269
2025-03,Belgium,Windows,AVG,0.188
2025-03,Belgium,Windows,Yandex Browser,0.086
2025-03,Belgium,Windows,DuckDuckGo,0.069
2025-03,Belgium,Windows,Safari,0.014
2025-03,Belgium,Windows,Vivaldi,0.003
2025-03,Belgium,Windows,Whale,0.003
2025-03,Belgium,Windows,Aloha Browser,0.002
2025-03,Belgium,Windows,Hola Browser,0.001
2025-03,Belgium,Windows,Other,0.001
2025-03,Belgium,iOS,Safari,47.382
2025-03,Belgium,iOS,Mobile Safari UI/WKWebView,23.949
2025-03,Belgium,iOS,Chrome,10.885
2025-03,Belgium,iOS,Facebook,8.036
2025-03,Belgium,iOS,Instagram,6.157
2025-03,Belgium,iOS,TikTok,1.43
2025-03,Belgium,iOS,Snapchat,0.532
2025-03,Belgium,iOS,Edge,0.396
2025-03,Belgium,iOS,Firefox,0.355
2025-03,Belgium,iOS,DuckDuckGo,0.232
2025-03,Belgium,iOS,Twitter,0.216
2025-03,Belgium,iOS,Pinterest,0.195
2025-03,Belgium,iOS,Ecosia,0.129
2025-03,Belgium,iOS,Aloha Browser,0.064
2025-03,Belgium,iOS,Yandex Browser,0.032
2025-03,Belgium,iOS,Opera,0.008
2025-03,Belgium,iOS,Other,0.001
2025-03,Belgium,iOS,UC Browser,0.001
2025-03,Bulgaria,Android,Chrome,67.647
2025-03,Bulgaria,Android,Chrome Mobile WebView,14.366
2025-03,Bulgaria,Android,Facebook,7.779
2025-03,Bulgaria,Android,Samsung Internet,5.575
2025-03,Bulgaria,Android,Huawei Browser,1.746
2025-03,Bulgaria,Android,Instagram,0.509
2025-03,Bulgaria,Android,Brave,0.471
2025-03,Bulgaria,Android,Firefox,0.469
2025-03,Bulgaria,Android,Opera,0.464
2025-03,Bulgaria,Android,Mi Browser,0.276
2025-03,Bulgaria,Android,Yandex Browser,0.201
2025-03,Bulgaria,Android,DuckDuckGo,0.132
2025-03,Bulgaria,Android,Edge,0.102
2025-03,Bulgaria,Android,TikTok,0.097
2025-03,Bulgaria,Android,Aloha Browser,0.059
2025-03,Bulgaria,Android,UC Browser,0.036
2025-03,Bulgaria,Android,Twitter,0.034
2025-03,Bulgaria,Android,HiBrowser,0.014
2025-03,Bulgaria,Android,Ecosia,0.007
2025-03,Bulgaria,Android,Oculus Browser,0.003
2025-03,Bulgaria,Android,QQ Browser,0.003
2025-03,Bulgaria,Android,VivoBrowser,0.003
2025-03,Bulgaria,Android,Snapchat,0.002
2025-03,Bulgaria,Android,Instabridge,0.001
2025-03,Bulgaria,Android,Mint Browser,0.001
2025-03,Bulgaria,Android,Other,0.001
2025-03,Bulgaria,Android,Pinterest,0.001
2025-03,Bulgaria,Android,Whale,0.001
2025-03,Bulgaria,Desktop,Chrome,68.102
2025-03,Bulgaria,Desktop,Firefox,12.903
2025-03,Bulgaria,Desktop,Edge,9.25
2025-03,Bulgaria,Desktop,Opera,3.914
2025-03,Bulgaria,Desktop,Safari,2.92
2025-03,Bulgaria,Desktop,Brave,2.356
2025-03,Bulgaria,Desktop,Yandex Browser,0.247
2025-03,Bulgaria,Desktop,Avast Secure Browser,0.217
2025-03,Bulgaria,Desktop,DuckDuckGo,0.032
2025-03,Bulgaria,Desktop,AVG,0.028
2025-03,Bulgaria,Desktop,Vivaldi,0.007
2025-03,Bulgaria,Desktop,Mi Browser,0.006
2025-03,Bulgaria,Desktop,UC Browser,0.006
2025-03,Bulgaria,Desktop,Huawei Browser,0.005
2025-03,Bulgaria,Desktop,Whale,0.005
2025-03,Bulgaria,Desktop,Other,0.002
2025-03,Bulgaria,Desktop,Aloha Browser,0.001
2025-03,Bulgaria,MacOSX,Chrome,54.423
2025-03,Bulgaria,MacOSX,Safari,35.451
2025-03,Bulgaria,MacOSX,Firefox,5.304
2025-03,Bulgaria,MacOSX,Brave,2.985
2025-03,Bulgaria,MacOSX,Opera,1.059
2025-03,Bulgaria,MacOSX,Edge,0.493
2025-03,Bulgaria,MacOSX,DuckDuckGo,0.163
2025-03,Bulgaria,MacOSX,Yandex Browser,0.109
2025-03,Bulgaria,MacOSX,Aloha Browser,0.005
2025-03,Bulgaria,MacOSX,Vivaldi,0.005
2025-03,Bulgaria,MacOSX,Avast Secure Browser,0.003
2025-03,Bulgaria,MacOSX,Other,0.0
2025-03,Bulgaria,Mobile,Chrome,52.777
2025-03,Bulgaria,Mobile,Safari,15.257
2025-03,Bulgaria,Mobile,Chrome Mobile WebView,10.359
2025-03,Bulgaria,Mobile,Facebook,7.305
2025-03,Bulgaria,Mobile,Mobile Safari UI/WKWebView,5.413
2025-03,Bulgaria,Mobile,Samsung Internet,4.418
2025-03,Bulgaria,Mobile,Huawei Browser,1.259
2025-03,Bulgaria,Mobile,Instagram,1.124
2025-03,Bulgaria,Mobile,Firefox,0.404
2025-03,Bulgaria,Mobile,Brave,0.34
2025-03,Bulgaria,Mobile,Opera,0.336
2025-03,Bulgaria,Mobile,Mi Browser,0.2
2025-03,Bulgaria,Mobile,TikTok,0.183
2025-03,Bulgaria,Mobile,Yandex Browser,0.182
2025-03,Bulgaria,Mobile,DuckDuckGo,0.137
2025-03,Bulgaria,Mobile,Edge,0.102
2025-03,Bulgaria,Mobile,Aloha Browser,0.062
2025-03,Bulgaria,Mobile,Twitter,0.052
2025-03,Bulgaria,Mobile,Pinterest,0.031
2025-03,Bulgaria,Mobile,UC Browser,0.026
2025-03,Bulgaria,Mobile,HiBrowser,0.01
2025-03,Bulgaria,Mobile,Snapchat,0.008
2025-03,Bulgaria,Mobile,Ecosia,0.007
2025-03,Bulgaria,Mobile,Oculus Browser,0.002
2025-03,Bulgaria,Mobile,QQ Browser,0.002
2025-03,Bulgaria,Mobile,VivoBrowser,0.002
2025-03,Bulgaria,Mobile,Instabridge,0.001
2025-03,Bulgaria,Mobile,Mint Browser,0.001
2025-03,Bulgaria,Mobile,Other,0.001
2025-03,Bulgaria,Windows,Chrome,68.926
2025-03,Bulgaria,Windows,Firefox,13.344
2025-03,Bulgaria,Windows,Edge,10.539
2025-03,Bulgaria,Windows,Opera,4.282
2025-03,Bulgaria,Windows,Brave,2.301
2025-03,Bulgaria,Windows,Yandex Browser,0.27
2025-03,Bulgaria,Windows,Avast Secure Browser,0.248
2025-03,Bulgaria,Windows,AVG,0.032
2025-03,Bulgaria,Windows,DuckDuckGo,0.022
2025-03,Bulgaria,Windows,Safari,0.009
2025-03,Bulgaria,Windows,UC Browser,0.007
2025-03,Bulgaria,Windows,Huawei Browser,0.006
2025-03,Bulgaria,Windows,Vivaldi,0.006
2025-03,Bulgaria,Windows,Whale,0.006
2025-03,Bulgaria,Windows,Aloha Browser,0.001
2025-03,Bulgaria,Windows,Other,0.001
2025-03,Bulgaria,Windows,QQ Browser,0.001
2025-03,Bulgaria,iOS,Safari,55.49
2025-03,Bulgaria,iOS,Mobile Safari UI/WKWebView,19.825
2025-03,Bulgaria,iOS,Chrome,14.345
2025-03,Bulgaria,iOS,Facebook,6.207
2025-03,Bulgaria,iOS,Instagram,2.772
2025-03,Bulgaria,iOS,TikTok,0.415
2025-03,Bulgaria,iOS,Firefox,0.239
2025-03,Bulgaria,iOS,DuckDuckGo,0.153
2025-03,Bulgaria,iOS,Yandex Browser,0.135
2025-03,Bulgaria,iOS,Pinterest,0.11
2025-03,Bulgaria,iOS,Edge,0.101
2025-03,Bulgaria,iOS,Twitter,0.099
2025-03,Bulgaria,iOS,Aloha Browser,0.071
2025-03,Bulgaria,iOS,Snapchat,0.024
2025-03,Bulgaria,iOS,Ecosia,0.007
2025-03,Bulgaria,iOS,Opera,0.004
2025-03,Bulgaria,iOS,Other,0.002
2025-03,Canada,Android,Chrome,65.569
2025-03,Canada,Android,Chrome Mobile WebView,14.853
2025-03,Canada,Android,Samsung Internet,7.398
2025-03,Canada,Android,Facebook,6.164
2025-03,Canada,Android,Instagram,1.457
2025-03,Canada,Android,Firefox,1.438
2025-03,Canada,Android,Brave,1.108
2025-03,Canada,Android,DuckDuckGo,0.524
2025-03,Canada,Android,Edge,0.451
2025-03,Canada,Android,Aloha Browser,0.23
2025-03,Canada,Android,Opera,0.221
2025-03,Canada,Android,TikTok,0.154
2025-03,Canada,Android,Oculus Browser,0.081
2025-03,Canada,Android,UC Browser,0.08
2025-03,Canada,Android,Huawei Browser,0.043
2025-03,Canada,Android,Yandex Browser,0.04
2025-03,Canada,Android,Ecosia,0.032
2025-03,Canada,Android,Mi Browser,0.031
2025-03,Canada,Android,Snapchat,0.023
2025-03,Canada,Android,Pinterest,0.02
2025-03,Canada,Android,Twitter,0.016
2025-03,Canada,Android,VivoBrowser,0.014
2025-03,Canada,Android,Whale,0.014
2025-03,Canada,Android,Mobile Safari UI/WKWebView,0.01
2025-03,Canada,Android,QQ Browser,0.009
2025-03,Canada,Android,KakaoTalk,0.008
2025-03,Canada,Android,Instabridge,0.006
2025-03,Canada,Android,HiBrowser,0.004
2025-03,Canada,Android,Other,0.001
2025-03,Canada,Desktop,Chrome,64.143
2025-03,Canada,Desktop,Edge,13.429
2025-03,Canada,Desktop,Safari,11.198
2025-03,Canada,Desktop,Firefox,7.41
2025-03,Canada,Desktop,Brave,1.78
2025-03,Canada,Desktop,Opera,1.667
2025-03,Canada,Desktop,DuckDuckGo,0.136
2025-03,Canada,Desktop,AVG,0.083
2025-03,Canada,Desktop,Avast Secure Browser,0.075
2025-03,Canada,Desktop,Wave Browser,0.035
2025-03,Canada,Desktop,Yandex Browser,0.027
2025-03,Canada,Desktop,Whale,0.006
2025-03,Canada,Desktop,Aloha Browser,0.003
2025-03,Canada,Desktop,Vivaldi,0.003
2025-03,Canada,Desktop,Mi Browser,0.001
2025-03,Canada,Desktop,Other,0.001
2025-03,Canada,Desktop,QQ Browser,0.001
2025-03,Canada,Desktop,Sogou Explorer,0.001
2025-03,Canada,MacOSX,Chrome,55.755
2025-03,Canada,MacOSX,Safari,37.565
2025-03,Canada,MacOSX,Firefox,4.394
2025-03,Canada,MacOSX,Brave,1.24
2025-03,Canada,MacOSX,Opera,0.393
2025-03,Canada,MacOSX,Edge,0.371
2025-03,Canada,MacOSX,DuckDuckGo,0.266
2025-03,Canada,MacOSX,Aloha Browser,0.005
2025-03,Canada,MacOSX,Yandex Browser,0.004
2025-03,Canada,MacOSX,Avast Secure Browser,0.003
2025-03,Canada,MacOSX,Whale,0.003
2025-03,Canada,MacOSX,Other,0.001
2025-03,Canada,MacOSX,Vivaldi,0.001
2025-03,Canada,Mobile,Chrome,29.716
2025-03,Canada,Mobile,Safari,27.474
2025-03,Canada,Mobile,Mobile Safari UI/WKWebView,22.579
2025-03,Canada,Mobile,Facebook,6.039
2025-03,Canada,Mobile,Chrome Mobile WebView,5.324
2025-03,Canada,Mobile,Instagram,3.118
2025-03,Canada,Mobile,Samsung Internet,2.846
2025-03,Canada,Mobile,Firefox,0.676
2025-03,Canada,Mobile,Brave,0.397
2025-03,Canada,Mobile,TikTok,0.387
2025-03,Canada,Mobile,DuckDuckGo,0.369
2025-03,Canada,Mobile,Edge,0.316
2025-03,Canada,Mobile,Aloha Browser,0.197
2025-03,Canada,Mobile,Pinterest,0.128
2025-03,Canada,Mobile,Twitter,0.117
2025-03,Canada,Mobile,Snapchat,0.082
2025-03,Canada,Mobile,Opera,0.081
2025-03,Canada,Mobile,UC Browser,0.031
2025-03,Canada,Mobile,Oculus Browser,0.029
2025-03,Canada,Mobile,Ecosia,0.022
2025-03,Canada,Mobile,Yandex Browser,0.022
2025-03,Canada,Mobile,Huawei Browser,0.015
2025-03,Canada,Mobile,Mi Browser,0.011
