date,country,browser,market_share
2025-03,Hungary,Mobile Safari UI/WKWebView,3.202
2025-03,Hungary,Samsung Internet,2.087
2025-03,Hungary,Opera,1.922
2025-03,Hungary,Brave,1.387
2025-03,Hungary,Instagram,0.636
2025-03,Hungary,TikTok,0.289
2025-03,Hungary,Avast Secure Browser,0.178
2025-03,Hungary,Huawei Browser,0.134
2025-03,Hungary,Mi Browser,0.119
2025-03,Hungary,DuckDuckGo,0.112
2025-03,Hungary,Yandex Browser,0.068
2025-03,Hungary,Pinterest,0.042
2025-03,Hungary,Aloha Browser,0.038
2025-03,Hungary,AVG,0.035
2025-03,Hungary,Twitter,0.027
2025-03,Hungary,Ecosia,0.009
2025-03,Hungary,UC Browser,0.008
2025-03,Hungary,Whale,0.007
2025-03,Hungary,Snapchat,0.004
2025-03,Hungary,Vivaldi,0.004
2025-03,Hungary,Oculus Browser,0.003
2025-03,Hungary,Instabridge,0.002
2025-03,Hungary,QQ Browser,0.002
2025-03,Hungary,HiBrowser,0.001
2025-03,Hungary,KakaoTalk,0.001
2025-03,Hungary,Other,0.001
2025-03,Hungary,VivoBrowser,0.001
2025-03,Hungary,webOS,0.001
2025-03,Iceland,Chrome,48.781
2025-03,Iceland,Safari,19.722
2025-03,Iceland,Edge,6.618
2025-03,Iceland,Chrome Mobile WebView,4.945
2025-03,Iceland,Facebook,4.879
2025-03,Iceland,Firefox,3.82
2025-03,Iceland,Mobile Safari UI/WKWebView,3.557
2025-03,Iceland,Samsung Internet,2.893
2025-03,Iceland,Instagram,1.72
2025-03,Iceland,Opera,1.371
2025-03,Iceland,Brave,1.029
2025-03,Iceland,DuckDuckGo,0.295
2025-03,Iceland,TikTok,0.089
2025-03,Iceland,Avast Secure Browser,0.05
2025-03,Iceland,Yandex Browser,0.049
2025-03,Iceland,Twitter,0.037
2025-03,Iceland,Pinterest,0.031
2025-03,Iceland,Aloha Browser,0.025
2025-03,Iceland,Snapchat,0.017
2025-03,Iceland,Mi Browser,0.013
2025-03,Iceland,AVG,0.012
2025-03,Iceland,Ecosia,0.012
2025-03,Iceland,Oculus Browser,0.011
2025-03,Iceland,UC Browser,0.008
2025-03,Iceland,Huawei Browser,0.006
2025-03,Iceland,Vivaldi,0.003
2025-03,Iceland,Other,0.002
2025-03,Iceland,QQ Browser,0.002
2025-03,Iceland,VivoBrowser,0.002
2025-03,Iceland,Whale,0.002
2025-03,Iceland,KakaoTalk,0.001
2025-03,India,Chrome,64.575
2025-03,India,Chrome Mobile WebView,13.971
2025-03,India,Instagram,5.018
2025-03,India,Safari,3.228
2025-03,India,Facebook,2.842
2025-03,India,Edge,2.192
2025-03,India,Mobile Safari UI/WKWebView,2.109
2025-03,India,Firefox,1.532
2025-03,India,Brave,1.319
2025-03,India,Samsung Internet,1.028
2025-03,India,Opera,0.913
2025-03,India,VivoBrowser,0.606
2025-03,India,UC Browser,0.387
2025-03,India,Aloha Browser,0.054
2025-03,India,DuckDuckGo,0.05
2025-03,India,Mi Browser,0.04
2025-03,India,HiBrowser,0.034
2025-03,India,Twitter,0.032
2025-03,India,Snapchat,0.021
2025-03,India,Pinterest,0.013
2025-03,India,Yandex Browser,0.012
2025-03,India,Avast Secure Browser,0.008
2025-03,India,AVG,0.005
2025-03,India,Huawei Browser,0.005
2025-03,India,Other,0.004
2025-03,India,Coc Coc,0.001
2025-03,India,Ecosia,0.001
2025-03,India,Whale,0.001
2025-03,Ireland,Chrome,53.053
2025-03,Ireland,Safari,14.7
2025-03,Ireland,Mobile Safari UI/WKWebView,8.455
2025-03,Ireland,Edge,4.794
2025-03,Ireland,Chrome Mobile WebView,4.524
2025-03,Ireland,Facebook,4.109
2025-03,Ireland,Samsung Internet,2.867
2025-03,Ireland,Firefox,2.581
2025-03,Ireland,Instagram,2.283
2025-03,Ireland,Brave,0.85
2025-03,Ireland,Opera,0.666
2025-03,Ireland,DuckDuckGo,0.384
2025-03,Ireland,TikTok,0.319
2025-03,Ireland,Snapchat,0.088
2025-03,Ireland,Twitter,0.077
2025-03,Ireland,Aloha Browser,0.03
2025-03,Ireland,Avast Secure Browser,0.03
2025-03,Ireland,Ecosia,0.03
2025-03,Ireland,Mi Browser,0.03
2025-03,Ireland,Yandex Browser,0.03
2025-03,Ireland,AVG,0.026
2025-03,Ireland,Pinterest,0.025
2025-03,Ireland,Huawei Browser,0.023
2025-03,Ireland,Oculus Browser,0.011
2025-03,Ireland,UC Browser,0.007
2025-03,Ireland,Other,0.002
2025-03,Ireland,QQ Browser,0.002
2025-03,Ireland,Whale,0.002
2025-03,Ireland,HiBrowser,0.001
2025-03,Ireland,VivoBrowser,0.001
2025-03,Italy,Chrome,53.491
2025-03,Italy,Safari,12.962
2025-03,Italy,Mobile Safari UI/WKWebView,6.956
2025-03,Italy,Facebook,4.94
2025-03,Italy,Chrome Mobile WebView,4.91
2025-03,Italy,Edge,4.291
2025-03,Italy,Firefox,3.972
2025-03,Italy,Instagram,3.123
2025-03,Italy,Samsung Internet,2.681
2025-03,Italy,Brave,0.735
2025-03,Italy,Opera,0.698
2025-03,Italy,TikTok,0.488
2025-03,Italy,Mi Browser,0.189
2025-03,Italy,DuckDuckGo,0.146
2025-03,Italy,Avast Secure Browser,0.09
2025-03,Italy,Huawei Browser,0.078
2025-03,Italy,Aloha Browser,0.042
2025-03,Italy,Pinterest,0.039
2025-03,Italy,Yandex Browser,0.039
2025-03,Italy,AVG,0.035
2025-03,Italy,Twitter,0.035
2025-03,Italy,Ecosia,0.033
2025-03,Italy,UC Browser,0.013
2025-03,Italy,Oculus Browser,0.004
2025-03,Italy,Snapchat,0.004
2025-03,Italy,Other,0.003
2025-03,Italy,QQ Browser,0.002
2025-03,Italy,Vivaldi,0.001
2025-03,Italy,VivoBrowser,0.001
2025-03,Italy,Whale,0.001
2025-03,Latvia,Chrome,59.028
2025-03,Latvia,Safari,10.689
2025-03,Latvia,Firefox,6.496
2025-03,Latvia,Edge,5.362
2025-03,Latvia,Samsung Internet,3.419
2025-03,Latvia,Mobile Safari UI/WKWebView,3.335
2025-03,Latvia,Chrome Mobile WebView,3.217
2025-03,Latvia,Opera,2.589
2025-03,Latvia,Facebook,2.39
2025-03,Latvia,Brave,1.111
2025-03,Latvia,Instagram,0.849
2025-03,Latvia,Yandex Browser,0.753
2025-03,Latvia,TikTok,0.141
2025-03,Latvia,DuckDuckGo,0.123
2025-03,Latvia,Huawei Browser,0.112
2025-03,Latvia,Mi Browser,0.105
2025-03,Latvia,Avast Secure Browser,0.098
2025-03,Latvia,Aloha Browser,0.041
2025-03,Latvia,Pinterest,0.032
2025-03,Latvia,UC Browser,0.026
2025-03,Latvia,AVG,0.024
2025-03,Latvia,Twitter,0.023
2025-03,Latvia,Snapchat,0.01
2025-03,Latvia,Whale,0.007
2025-03,Latvia,Ecosia,0.005
2025-03,Latvia,Oculus Browser,0.005
2025-03,Latvia,Other,0.003
2025-03,Latvia,Vivaldi,0.003
2025-03,Latvia,QQ Browser,0.002
2025-03,Latvia,Sogou Explorer,0.001
2025-03,Latvia,VivoBrowser,0.001
2025-03,Liechtenstein,Chrome,44.164
2025-03,Liechtenstein,Safari,17.007
2025-03,Liechtenstein,Edge,12.233
2025-03,Liechtenstein,Firefox,11.484
2025-03,Liechtenstein,Mobile Safari UI/WKWebView,5.006
2025-03,Liechtenstein,Samsung Internet,2.776
2025-03,Liechtenstein,Chrome Mobile WebView,1.578
2025-03,Liechtenstein,Facebook,1.228
2025-03,Liechtenstein,Brave,1.219
2025-03,Liechtenstein,Opera,1.206
2025-03,Liechtenstein,Instagram,1.101
2025-03,Liechtenstein,DuckDuckGo,0.602
2025-03,Liechtenstein,TikTok,0.121
2025-03,Liechtenstein,Avast Secure Browser,0.095
2025-03,Liechtenstein,Ecosia,0.042
2025-03,Liechtenstein,Yandex Browser,0.042
2025-03,Liechtenstein,AVG,0.024
2025-03,Liechtenstein,Aloha Browser,0.024
2025-03,Liechtenstein,Other,0.024
2025-03,Liechtenstein,Pinterest,0.02
2025-03,Liechtenstein,Twitter,0.006
2025-03,Lithuania,Chrome,55.596
2025-03,Lithuania,Safari,8.259
2025-03,Lithuania,Chrome Mobile WebView,7.39
2025-03,Lithuania,Facebook,5.872
2025-03,Lithuania,Firefox,5.122
2025-03,Lithuania,Mobile Safari UI/WKWebView,4.804
2025-03,Lithuania,Edge,4.266
2025-03,Lithuania,Samsung Internet,3.673
2025-03,Lithuania,Opera,2.388
2025-03,Lithuania,Brave,1.069
2025-03,Lithuania,Instagram,0.709
2025-03,Lithuania,Yandex Browser,0.242
2025-03,Lithuania,Mi Browser,0.132
2025-03,Lithuania,TikTok,0.099
2025-03,Lithuania,DuckDuckGo,0.096
2025-03,Lithuania,Huawei Browser,0.09
2025-03,Lithuania,Avast Secure Browser,0.078
2025-03,Lithuania,Aloha Browser,0.029
2025-03,Lithuania,Pinterest,0.019
2025-03,Lithuania,AVG,0.014
2025-03,Lithuania,Snapchat,0.013
2025-03,Lithuania,UC Browser,0.01
2025-03,Lithuania,Twitter,0.009
2025-03,Lithuania,Ecosia,0.005
2025-03,Lithuania,Oculus Browser,0.004
2025-03,Lithuania,Vivaldi,0.004
2025-03,Lithuania,Whale,0.002
2025-03,Lithuania,Other,0.001
2025-03,Lithuania,QQ Browser,0.001
2025-03,Lithuania,Sogou Explorer,0.001
2025-03,Lithuania,VivoBrowser,0.001
2025-03,Luxembourg,Chrome,36.742
2025-03,Luxembourg,Safari,24.421
2025-03,Luxembourg,Firefox,8.727
2025-03,Luxembourg,Edge,7.879
2025-03,Luxembourg,Mobile Safari UI/WKWebView,7.128
2025-03,Luxembourg,Samsung Internet,3.275
